Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,100A,Salaries And Benefits,Expenses,"1,507,137"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,200A,Materials & Supplies,Expenses,"6,723"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,300A,Equipment,Expenses,"1,982"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,400A,Service And Rent,Expenses,"133,613"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,510A,Contribution To Reserves/Reserve Funds,Expenses,"49,982"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,650A,Other Expenditures,Expenses,"46,565,439"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,700A,Inter-Divisional Charges,Expenses,"79,240"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,100A,Salaries And Benefits,Expenses,"1,507,134"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,200A,Materials & Supplies,Expenses,"6,723"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,300A,Equipment,Expenses,"1,982"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,400A,Service And Rent,Expenses,"133,613"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,510A,Contribution To Reserves/Reserve Funds,Expenses,"49,982"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,650A,Other Expenditures,Expenses,"110,241,374"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,700A,Inter-Divisional Charges,Expenses,"79,240"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,100A,Salaries And Benefits,Expenses,"1,749,238"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,200A,Materials & Supplies,Expenses,"6,723"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,300A,Equipment,Expenses,"1,982"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,400A,Service And Rent,Expenses,"133,613"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,510A,Contribution To Reserves/Reserve Funds,Expenses,"49,982"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,650A,Other Expenditures,Expenses,"319,459,871"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,700A,Inter-Divisional Charges,Expenses,"79,471"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,100A,Salaries And Benefits,Expenses,"495,714"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,200A,Materials & Supplies,Expenses,132
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,300A,Equipment,Expenses,107
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,400A,Service And Rent,Expenses,"18,282"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,100A,Salaries And Benefits,Expenses,"2,038,488"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,200A,Materials & Supplies,Expenses,"3,251"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,300A,Equipment,Expenses,107
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,400A,Service And Rent,Expenses,"22,270"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,650A,Other Expenditures,Expenses,"3,000,000"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,100A,Salaries And Benefits,Expenses,"887,663"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,200A,Materials & Supplies,Expenses,"8,238"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,300A,Equipment,Expenses,446
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,400A,Service And Rent,Expenses,"36,435"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,100A,Salaries And Benefits,Expenses,"1,038,695"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,200A,Materials & Supplies,Expenses,"4,155"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,300A,Equipment,Expenses,"1,644"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,400A,Service And Rent,Expenses,"73,528"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,650A,Other Expenditures,Expenses,"10,000,000"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,100A,Salaries And Benefits,Expenses,"488,368"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,200A,Materials & Supplies,Expenses,"11,569"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,300A,Equipment,Expenses,446
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,400A,Service And Rent,Expenses,"2,380,588"
"Social Development, Finance & Administration",CD-Community Partnership Investment Program,Investment Funding,650A,Other Expenditures,Expenses,"3,647,700"
"Social Development, Finance & Administration",CD-Community Partnership Investment Program,Partnership Funding,650A,Other Expenditures,Expenses,"16,005,500"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,100A,Salaries And Benefits,Expenses,"2,005,483"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,200A,Materials & Supplies,Expenses,"14,184"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,300A,Equipment,Expenses,869
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,400A,Service And Rent,Expenses,"48,150"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,510A,Contribution To Reserves/Reserve Funds,Expenses,"21,008"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,100A,Salaries And Benefits,Expenses,"411,678"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,200A,Materials & Supplies,Expenses,"2,844"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,300A,Equipment,Expenses,521
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,400A,Service And Rent,Expenses,"27,960"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,510A,Contribution To Reserves/Reserve Funds,Expenses,"12,605"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,100A,Salaries And Benefits,Expenses,"739,471"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,200A,Materials & Supplies,Expenses,"7,991"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,300A,Equipment,Expenses,"1,648"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,400A,Service And Rent,Expenses,"36,590"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,510A,Contribution To Reserves/Reserve Funds,Expenses,"40,792"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,700A,Inter-Divisional Charges,Expenses,"298,025"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,100A,Salaries And Benefits,Expenses,"1,912,033"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,200A,Materials & Supplies,Expenses,"2,844"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,300A,Equipment,Expenses,"3,021"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,400A,Service And Rent,Expenses,"30,860"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,510A,Contribution To Reserves/Reserve Funds,Expenses,"12,605"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,700A,Inter-Divisional Charges,Expenses,100
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,100A,Salaries And Benefits,Expenses,"1,548,057"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,200A,Materials & Supplies,Expenses,"19,670"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,300A,Equipment,Expenses,"2,563"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,400A,Service And Rent,Expenses,"643,836"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,100A,Salaries And Benefits,Expenses,"983,011"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,200A,Materials & Supplies,Expenses,"4,873"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,300A,Equipment,Expenses,"1,866"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,400A,Service And Rent,Expenses,"11,232"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,100A,Salaries And Benefits,Expenses,"726,668"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,200A,Materials & Supplies,Expenses,"3,083"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,300A,Equipment,Expenses,"3,675"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,400A,Service And Rent,Expenses,"17,239"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,700A,Inter-Divisional Charges,Expenses,"10,310"
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Corporate Partnership Initiatives,100A,Salaries And Benefits,Expenses,"217,576"
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Corporate Partnership Initiatives,200A,Materials & Supplies,Expenses,304
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Corporate Partnership Initiatives,400A,Service And Rent,Expenses,"5,589"
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Partnership Development,100A,Salaries And Benefits,Expenses,"398,890"
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Partnership Development,200A,Materials & Supplies,Expenses,557
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Partnership Development,400A,Service And Rent,Expenses,"10,246"
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,100A,Salaries And Benefits,Expenses,"221,040"
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,200A,Materials & Supplies,Expenses,152
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,400A,Service And Rent,Expenses,"15,194"
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),100A,Salaries And Benefits,Expenses,"1,069,713"
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),200A,Materials & Supplies,Expenses,"7,713"
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),300A,Equipment,Expenses,695
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),400A,Service And Rent,Expenses,"64,099"
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),510A,Contribution To Reserves/Reserve Funds,Expenses,"34,693"
Solid Waste Management Services,SW-City Beautification,Litter Pick-up,100A,Salaries And Benefits,Expenses,"10,730,744"
Solid Waste Management Services,SW-City Beautification,Litter Pick-up,200A,Materials & Supplies,Expenses,"173,624"
Solid Waste Management Services,SW-City Beautification,Litter Pick-up,300A,Equipment,Expenses,"8,755"
Solid Waste Management Services,SW-City Beautification,Litter Pick-up,400A,Service And Rent,Expenses,"2,948,339"
